xuhao,type,content,answer,A,B,C,D,E,F
12,单选题,12.____是实现社会主义现代化、创造人民美好生活的必由之路。,A,中国特色社会主义道路,中国特色社会主义理论体系,中国特色社会主义制度,中国特色社会主义文化,,
13,单选题,13.____是指导党和人民实现中华民族伟大复兴的正确理论。,B,中国特色社会主义道路,中国特色社会主义理论体系,中国特色社会主义制度,中国特色社会主义文化,,
14,单选题,14.____是当代中国发展进步的根本制度保障。,C,中国特色社会主义道路,中国特色社会主义理论体系,中国特色社会主义制度,中国特色社会主义文化,,
15,单选题,15.____是激励全党全国各族人民奋勇前进的强大精神力量。,D,中国特色社会主义道路,中国特色社会主义理论体系,中国特色社会主义制度,中国特色社会主义文化,,
16,单选题,16.党的十八大以来，以习近平同志为主要代表的中国共产党人，顺应时代发展，从理论和实践结合上系统回答了新时代____这个重大时代课题，创立了习近平新时代中国特色社会主义思想。,D,什么是社会主义、怎样建设社会主义,建设什么样的党、怎样建设党,实现什么样的发展、怎样发展的问题,坚持和发展什么样的中国特色社会主义、怎样坚持和发展中国特色社会主义。,,
17,单选题,17.党的十九大报告指出，在全面建成小康社会的基础上，分____在本世纪中叶建成富强民主文明和谐美丽的社会主义现代化强国。,A,两步走,三步走,四步走,五步走,,
18,单选题,18.党的十九大报告指出，中国特色社会主义事业总体布局是____、战略布局是____。,B,“四位一体” “四个全面”,“五位一体” “四个全面”,“五位一体” “五个全面”,“四位一体” “五个全面”,,
19,单选题,19.____是中国特色社会主义最本质的特征，是中国特色社会主义制度的最大优势。,A,中国共产党的领导,以经济建设为中心,人民利益为根本出发点,“五位一体”总体布局,,
20,单选题,20.党的十九大报告指出，中国特色社会主义制度的最大优势是中国共产党领导，党是____。,A,最高政治领导力量,最高政治决策核心,最高行政领导机关,最高立法机构,,
21,单选题,21.习近平新时代中国特色社会主义思想，是____最新成果，是党和人民实践经验和集体智慧的结晶，是中国特色社会主义理论体系的重要组成部分，是全党全国人民为实现中华民族伟大复兴而奋斗的行动指南，必须长期坚持并不断发展。,C,社会主义中国化,马列主义中国化,马克思主义中国化,科学社会主义中国化,,
22,单选题,22.党的十九大报告指出，坚持和发展中国特色社会主义，____是实现社会主义现代化和中华民族伟大复兴。,C,总目标,总方向,总任务,总路线,,
23,单选题,23.要全面深化改革，完善和发展____，推进国家治理体系和治理能力现代化。,C,体制机制建设,制度体系建设,中国特色社会主义制度,社会主义民主政治,,
24,单选题,24.党在新时代的强军目标是建设一支听党指挥、能打胜仗、作风优良的人民军队，把人民军队建设成为____。,B,能打仗、打胜仗的军队,世界一流军队,世界最强大的军队,召之即来、来之能战、战之必胜的军队,,
25,单选题,25.坚持推动构建____。中国人民的梦想同各国人民的梦想息息相通，实现中国梦离不开和平的国际环境和稳定的国际秩序。必须统筹国内国际两个大局，始终不渝走和平发展道路、奉行互利共赢的开放战略，坚持正确义利观，树立共同、综合、合作、可持续的新安全观，谋求开放创新、包容互惠的发展前景，促进和而不同、兼收并蓄的文明交流，构筑尊崇自然、绿色发展的生态体系，始终做世界和平的建设者、全球发展的贡献者、国际秩序的维护者。,D,新型双边关系,新型多边关系,新型大国关系,人类命运共同体,,
26,单选题,26.党的十九大报告中，新时代坚持和发展中国特色社会主义的基本方略共有____条。,D,十一,十二,十三,十四,,
27,单选题,27.党的十九大报告指出，新时代坚持和发展中国特色社会主义的基本方略第一条是____。,D,坚持全面深化改革,坚持以人民为中心,坚持全面从严治党,坚持党对一切工作的领导,,
28,单选题,28.党的十九大报告指出，必须增强____，自觉维护党中央权威和集中统一领导，自觉在思想上政治上行动上同党中央保持高度一致。,A,政治意识、大局意识、核心意识、看齐意识,政治意识、大局意识、权威意识、看齐意识,政治意识、全局意识、核心意识、看齐意识,政治意识、全局意识、权威意识、看齐意识,,
29,单选题,29.坚持以人民为中心。____是历史的创造者，是决定党和国家前途命运的根本力量。,B,青年,人民,执政党,中国共产党,,
30,单选题,30.党的十九大报告指出，必须坚持____，坚持立党为公、执政为民，践行全心全意为人民服务的根本宗旨。,C,国家主体地位,公民主体地位,人民主体地位,党的主体地位,,
31,单选题,31.坚持全面深化改革。只有社会主义才能救中国，只有改革开放才能发展中国、发展社会主义、发展马克思主义。必须坚持和完善____，不断推进国家治理体系和治理能力现代化。,C,马克思主义中国化,科学社会主义,中国特色社会主义制度,社会主义制度,,
32,单选题,32.坚持新发展理念。发展是解决我国一切问题的基础和关键，发展必须是科学发展，必须坚定不移贯彻____的发展理念。,A,创新、协调、绿色、开放、共享,创造、协调、生态、开放、共享,创新、统筹、绿色、开放、共享,创造、统筹、生态、开放、共享,,
33,单选题,33.党的十九大报告指出，必须把____贯彻落实到依法治国全过程和各方面，坚定不移走中国特色社会主义法治道路。,B,党的引导,党的领导,人民主体,协商民主,,
34,单选题,34.党的十九大报告指出，完善以____为核心的中国特色社会主义法律体系，建设中国特色社会主义法治体系，建设社会主义法治国家，发展中国特色社会主义法治理论。,A,宪法,民法,党章,刑法,,
35,单选题,35.坚持全面依法治国。全面依法治国是中国特色社会主义的本质要求和重要保障。必须把党的领导贯彻落实到依法治国全过程和各方面，坚定不移走中国特色社会主义法治道路，完善以宪法为核心的中国特色社会主义法律体系，建设中国特色社会主义法治体系，建设社会主义法治国家，发展中国特色社会主义法治理论，坚持依法治国、依法执政、依法行政共同推进，坚持法治国家、法治政府、法治社会一体建设，坚持依法治国和以德治国相结合，____有机统一，深化司法体制改革，提高全民族法治素养和道德素质。,C,以德治国和依法治党,以德治国和依规治党,依法治国和依规治党,依法治国和以德治党,,
36,单选题,36.坚持社会主义核心价值体系。____是一个国家、一个民族发展中更基本、更深沉、更持久的力量。,D,道路自信,理论自信,制度自信,文化自信,,
37,单选题,37.坚持在发展中保障和改善民生。____是发展的根本目的。,A,增进民生福祉,增进民众权益,增加民众收入,维护民众利益,,
38,单选题,38.坚持人与自然和谐共生。建设生态文明是中华民族永续发展的千年大计。必须树立和践行____的理念，坚持节约资源和保护环境的基本国策。,B,金山银山不如绿水青山,绿水青山就是金山银山,金山银山就是绿水青山,绿水青山胜过金山银山,,
39,单选题,39.中国共产党领导人民建设社会主义生态文明。着力建设资源节约型、环境友好型社会，实行最严格的____。,D,耕地保护制度,森林保护制度,环境保护制度,生态环境保护制度,,
40,单选题,40.中国共产党坚持对人民解放军和其他人民武装力量的____。,D,主要领导,原则领导,基本领导,绝对领导,,
41,单选题,41.中国共产党坚持独立自主的和平外交政策，始终不渝走和平发展道路，奉行____的开放战略。,A,互利共赢,互相合作,包容互信,开放共赢,,
42,单选题,42.从现在到二〇二〇年，____是全面建成小康社会。,B,机遇期,决胜期,关键期,攻坚期,,
43,单选题,43.从____到____，是“两个一百年”奋斗目标的历史交汇期。,B,二〇二〇年 二〇三五年,十九大 二十大,二十大 二十一大,二〇三五年 本世纪中叶,,
44,单选题,44.综合分析国际国内形势和我国发展条件，从二〇二〇年到本世纪中叶可以分两个阶段来安排。第一个阶段，从____到____，在全面建成小康社会的基础上，再奋斗十五年，基本实现社会主义现代化。,A,二〇二〇年 二〇三五年,二〇二五年 二〇四〇年,二〇三〇年 二〇四五年,二〇三五年 本世纪中叶,,
45,单选题,45.综合分析国际国内形势和我国发展条件，从二〇二〇年到本世纪中叶可以分两个阶段来安排。第二个阶段，从____到____，在基本实现现代化的基础上，再奋斗十五年，把我国建成富强民主文明和谐美丽的社会主义现代化强国。,D,二〇二〇年 二〇三五年,二〇二〇年 本世纪中叶,二〇三五年 二〇四五年,二〇三五年 本世纪中叶,,
46,单选题,46.从全面建成小康社会到基本实现现代化，再到全面建成____，是新时代中国特色社会主义发展的战略安排。,B,创新型国家,社会主义现代化强国,社会主义现代化大国,世界一流强国,,
47,单选题,47.实现“两个一百年”奋斗目标、实现中华民族伟大复兴的中国梦，不断提高人民生活水平，必须坚定不移把____作为党执政兴国的第一要务。,C,创新,改革,发展,开放,,
48,单选题,48.我国经济已由____阶段转向____阶段，正处在转变发展方式、优化经济结构、转换增长动力的攻关期，建设现代化经济体系是跨越关口的迫切要求和我国发展的战略目标。,C,高速增长 高水平发展,高速发展 高水平发展,高速增长 高质量发展,高速发展 高质量发展,,
49,单选题,49.党的十九大报告指出，贯彻新发展理念，建设现代化经济体系，必须坚持质量第一、效益优先，以____为主线。,C,转变发展方式,优化经济结构,供给侧结构性改革,转换增长动力,,
50,单选题,50.党的十九大报告指出，建设现代化经济体系，必须把发展经济的着力点放在____上，把提高供给体系质量作为主攻方向，显著增强我国经济质量优势。,A,实体经济,共享经济,虚拟经济,国民经济,,
51,单选题,51.党的十九大报告指出，____是引领发展的第一动力，是建设现代化经济体系的战略支撑。,B,改革,创新,开放,科技,,
52,单选题,52.党的十九大报告指出，保持土地承包关系稳定并长久不变，第二轮土地承包到期后再延长____年。,B,二十,三十,四十,五十,,
53,单选题,53.党的十九大报告指出，确保到____我国现行标准下农村贫困人口实现脱贫，贫困县全部摘帽，解决区域性整体贫困，做到脱真贫、真脱贫。,B,二〇三〇年,二〇二〇年,二〇二五年,二〇三五年,,
54,单选题,54.加快完善社会主义市场经济体制。经济体制改革必须以____和____为重点。,A,完善产权制度 要素市场化配置,要素市场化配置 建立现代财政制度,建立现代财政制度 创新和完善宏观调控,完善产权制度 创新和完善宏观调控,,
55,单选题,55.推动形成全面开放新格局。要以____建设为重点，坚持引进来和走出去并重。,C,“金砖机制”,自贸区,“一带一路”,区域合作,,
56,单选题,56.推动形成全面开放新格局。要遵循____原则，加强创新能力开放合作，形成陆海内外联动、东西双向互济的开放格局。,A,共商共建共享,共商共享共赢,共享共建共赢,共享共建共荣,,
57,单选题,57.____赋予自由贸易试验区更大改革自主权，探索建设。,C,自由贸易城,自由贸易区,自由贸易港,自由贸易市,,
58,单选题,58.坚持人民当家作主。坚持党的领导、人民当家作主、____有机统一是社会主义政治发展的必然要求。,B,社会主义制度,依法治国,依规治国,政治体制改革,,
59,单选题,59.加强人民当家作主制度保障。人民代表大会制度是坚持党的领导、人民当家作主、依法治国有机统一的____。,A,根本政治制度安排,最优制度设计,人民自主选择,制度共识,,
60,单选题,60.发挥社会主义协商民主重要作用。____是具有中国特色的制度安排，是社会主义协商民主的重要渠道和专门协商机构。,D,政党协商,人大协商,基层协商,人民政协,,
61,单选题,61.党的十九大报告指出，深化依法治国实践，成立中央全面____领导小组，加强对法治中国建设的统一领导。,B,深化改革,依法治国,从严治党,司法改革,,
62,单选题,62.党的十九大报告指出，深化机构和行政体制改革。转变政府职能，深化简政放权，创新监管方式，增强政府公信力和执行力，建设人民满意的____政府。,D,全能化,创新型,廉洁化,服务型,,
63,单选题,63.全党必须牢记，____的问题，是检验一个政党、一个政权性质的试金石。,A,为什么人,执政宗旨,建党宗旨,权力来源,,
64,单选题,64.必须把教育事业放在优先位置，深化教育改革，加快教育现代化，办好____的教育。,C,社会满意,家长满意,人民满意,政府满意,,
65,单选题,65.国家安全是安邦定国的重要基石，____是全国各族人民根本利益所在。,D,加快经济发展,维护国家统一,促进国际合作,维护国家安全,,
66,单选题,66.加快建立绿色生产和消费的法律制度和政策导向，建立健全____的经济体系。,A,绿色低碳循环发展,绿色节约循环发展,绿色低碳节约发展,节约低碳循环发展,,
67,单选题,67.加强对生态文明建设的总体设计和组织领导，设立____机构。,B,国有自然资源资产管理和自然环境监管,国有自然资源资产管理和自然生态监管,国有自然资源资产监管和自然生态管理,国有自然环境资产监管和自然生态管理,,
68,单选题,68.我们要牢固树立社会主义生态文明观，推动形成____现代化建设新格局，为保护生态环境作出我们这代人的努力！,C,人与自然和谐共生,人与环境和谐发展,人与自然和谐发展,人与环境和谐共生,,
69,单选题,69.力争到二〇三五年____国防和军队现代化，到本世纪中叶把人民军队____世界一流军队。,D,全面实现 基本建成,全面实现 全面建成,基本实现 基本建成,基本实现 全面建成,,
70,单选题,70.树立____是核心战斗力的思想，推进重大技术创新、自主创新，加强军事人才培养体系建设，建设创新型人民军队。,B,创新,科技,人才,技术,,
71,单选题,71.军队是要准备打仗的，一切工作都必须坚持____标准，向能打仗、打胜仗聚焦。,A,战斗力,斗争力,战争力,硬实力,,
72,单选题,72.____是两岸关系的政治基础。,C,“九二共识”,反对“台独”,一个中国原则,和平统一,,
73,单选题,73.过去五年，____新体制逐步健全，对外贸易、对外投资、外汇储备稳居世界前列。,C,对外贸易,对外投资,开放型经济,走出去战略,,
74,单选题,74.科学立法、严格执法、公正司法、全民守法深入推进，____建设相互促进，中国特色社会主义法治体系日益完善，全社会法治观念明显增强。,A,法治国家、法治政府、法治社会,法治政党、法治政府、法治生活,法治政府、法治社会、法治观念,法治政党、法治社会、法治观念,,
75,单选题,75.党的十九大报告指出，中国要____气候变化国际合作，成为全球生态文明建设的重要参与者、贡献者、引领者。,B,主导应对,引导应对,主持引导,主持领导,,
76,单选题,76.实施____。农业农村农民问题是关系国计民生的根本性问题，必须始终把解决好“三农”问题作为全党工作重中之重。,B,农村振兴战略,乡村振兴战略,农业振兴战略,农民增收战略,,
77,单选题,77.巩固和发展爱国统一战线。坚持长期共存、互相监督、肝胆相照、荣辱与共，支持民主党派按照中国特色社会主义____要求更好履行职能。,D,联盟党,合作党,议政党,参政党,,
78,单选题,78.提高就业质量和人民收入水平，就业是最大的民生，要坚持就业优先战略和积极就业政策，实现____就业。,C,更高水平和更充分,更高水平和更平衡,更高质量和更充分,更高质量和更平衡,,
79,单选题,79.坚持推进国际传播能力建设，讲好中国故事，展现真实、立体、全面的中国，提高国家____。,A,文化软实力,政治软实力,综合国力,社会软实力,,
80,单选题,80.党的十九大报告指出，打造____的社会治理格局。,C,共建、共享,共建、共治,共建、共治、共享,共治、共享,,
81,单选题,81.加强社会治理制度建设，完善党委领导、政府负责、社会协同、公众参与、法治保障的社会治理体制，提高社会治理____水平。,B,多元化、法治化、信息化、专业化,社会化、法治化、智能化、专业化,多元化、法治化、智能化、职业化,社会化、法治化、信息化、职业化,,
82,单选题,82.必须坚持节约优先、保护优先、自然恢复为主的方针，形成____的空间格局、产业结构、生产方式、生活方式，还自然以宁静、和谐、美丽。,C,预防为主和防治结合,事前预防和事后治理,节约资源和保护环境,人与自然和谐共生,,
83,单选题,83.构建市场导向的____，发展绿色金融，壮大节能环保产业、清洁生产产业、清洁能源产业。,D,绿色发展创新体系,绿色产业创新体系,绿色科技创新体系,绿色技术创新体系,,
84,单选题,84.着力解决突出环境问题。构建____、社会组织和公众共同参与的环境治理体系。,B,政府为主体、企业为主导,政府为主导、企业为主体,政府为引导、企业为主体,政府为指导、企业为主导,,
85,单选题,85.完成____三条控制线划定工作。,C,生态保护底线、永久基本农田、国土绿化面积,生态保护底线、退耕还林规模、国土绿化面积,生态保护红线、永久基本农田、城镇开发边界,生态保护红线、永久基本农田、国土绿化面积,,
86,单选题,86.要支持香港、澳门融入国家发展大局，以____等为重点，全面推进内地同香港、澳门互利合作。,A,粤港澳大湾区建设、粤港澳合作、泛珠三角区域合作,粤港澳大湾区建设、粤港澳政府合作、泛珠三角区域合作,粤港澳大湾区建设、粤港澳经济合作、泛珠三角区域合作,粤港澳大湾区建设、粤港澳全方位合作、泛珠三角区域合作,,
87,单选题,87.中国将高举和平、发展、合作、共赢的旗帜，恪守维护世界和平、促进____的外交政策宗旨。,B,共同繁荣,共同发展,和平崛起,和平发展,,
88,单选题,88.坚定不移在和平共处五项原则基础上发展同各国的友好合作，推动建设____的新型国际关系。,C,相互尊重、互不干涉、合作共赢,相互尊重、公平正义、互利共赢,相互尊重、公平正义、合作共赢,相互尊重、公平正义、互不干涉,,
89,单选题,89.世界正处于大发展大变革大调整时期，和平与发展仍然是时代主题。____深入发展。,D,全球多元化、经济全球化、社会一体化、文化多样化,全球多极化、经济全球化、社会信息化、文化多元化,世界多元化、经济全球化、社会一体化、文化多样化,世界多极化、经济全球化、社会信息化、文化多样化,,
90,单选题,90.建设____是中华民族伟大复兴的基础工程。,A,教育强国,经济强国,文化强国,科技强国,,
91,单选题,91.人才是实现民族振兴、赢得国际竞争主动的战略资源。实行____人才政策。,A,更加积极、更加开放、更加有效的,更加主动、更加高层、更加有效的,更加积极、更加高端、更加实效的,更加主动、更加开放、更加实效的,,
92,单选题,92.____是改革开放以来党的全部理论和实践的主题，是党和人民历尽千辛万苦、付出巨大代价取得的根本成就。,D,中国道路,以经济建设为中心,科学社会主义,中国特色社会主义,,
93,单选题,93.从党的十九大到二十大，是“两个一百年”奋斗目标的历史____。,C,交叉期,过渡期,交汇期,转折期,,
94,单选题,94.党的十九大报告指出，到本世纪中叶，“把我国建成____的社会主义现代化强国”。,D,富强民主文明幸福绿色,富强民主文明幸福美丽,富强民主文明和谐绿色,富强民主文明和谐美丽,,
95,单选题,95.党的十九大报告指出，建设____，必须把发展经济的着力点放在实体经济上，把提高供给体系质量作为主攻方向，显著增强我国经济质量优势。,B,高质量发展的经济,现代化经济体系,战略性新兴产业,高新技术产业,,
96,单选题,96.农业农村农民问题是关系国计民生的____，必须始终把解决好“三农”问题作为全党工作重中之重。,C,基本问题,基础问题,根本性问题,原则性问题,,
97,单选题,97.____是人民当家作主和依法治国的根本保证，人民当家作主是社会主义民主政治的本质特征，依法治国是党领导人民治理国家的基本方式，三者统一于我国社会主义民主政治伟大实践。,D,人民民主专政,协商民主,基层群众自治制度,党的领导,,
98,单选题,98.党的十九大报告指出，要组建____机构，维护军人军属合法权益，让军人成为全社会尊崇的职业。,C,退伍军人管理保障,退伍军人社会保障,退役军人管理保障,退役军人社会保障,,
99,单选题,99.党的十九大报告中指出，军队将开展____主题教育。,D,继承红色传统、勇挑强军重担,继承红色基因、担当强军重任,传承红色传统、勇挑强军重担,传承红色基因、担当强军重任,,
100,单选题,100.中国共产党一经成立，就把实现____作为党的最高理想和最终目标，义无反顾肩负起实现中华民族伟大复兴的历史使命，团结带领人民进行了艰苦卓绝的斗争，谱写了气吞山河的壮丽史诗。,B,社会主义,共产主义,共同富裕,发展生产力,,
101,单选题,101.____是近代以来中华民族最伟大的梦想。,D,实现四个现代化,强起来,富起来,实现中华民族伟大复兴,,
102,单选题,102.党的十九大报告提出的“四个伟大”是：____。,B,伟大战斗，伟大工程，伟大事业，伟大理想,伟大斗争，伟大工程，伟大事业，伟大梦想,伟大战斗，伟大工程，伟大成就，伟大梦想,伟大斗争，伟大建设，伟大事业，伟大理想,,
103,单选题,103.党的十九大报告指出，必须全面贯彻党领导人民军队的一系列根本原则和制度，确立____在国防和军队建设中的指导地位。,C,新时代党的建军思想,新时期党的建军思想,新时代党的强军思想,新时期党的强军思想,,
104,单选题,104.坚持“一国两制”和推进祖国统一。保持香港、澳门长期繁荣稳定，实现祖国完全统一，是实现中华民族伟大复兴的必然要求。必须把维护中央对香港、澳门特别行政区____和保障特别行政区____有机结合起来，确保“一国两制”方针不会变、不动摇，确保“一国两制”实践不变形、不走样。,D,全面管理权 高度自决权,全面管理权 高度自治权,全面管治权 高度自决权,全面管治权 高度自治权,,
105,单选题,105.要坚持____发展，按照产业兴旺、生态宜居、乡风文明、治理有效、生活富裕的总要求，建立健全城乡融合发展体制机制和政策体系，加快推进农业农村现代化。,B,农业农民优先,农业农村优先,农村农民优先,农业农村农民优先,,
106,单选题,106.党的十九大报告指出，培养造就一支____的“三农”工作队伍。,C,爱农业、爱农村、懂农民,懂农业、爱农村、懂农民,懂农业、爱农村、爱农民,爱农业、懂农村、懂农民,,
107,单选题,107.党的十九大报告指出，全面实施____制度，清理废除妨碍统一市场和公平竞争的各种规定和做法，支持民营企业发展，激发各类市场主体活力。,D,市场准入范围清单,市场准入管理清单,市场准入正面清单,市场准入负面清单,,
108,单选题,108.____是坚持党的领导、人民当家作主、依法治国有机统一的根本政治制度安排，必须长期坚持、不断完善。,B,政治协商制度,人民代表大会制度,基层群众自治制度,民族区域自治制度,,
109,单选题,109.党的十九大报告指出，在省市县对职能相近的____探索合并设立或合署办公。,A,党政机关,公检法机关,党政法机关,党政军机关,,
110,单选题,110.____是当代中国精神的集中体现，凝结着全体人民共同的价值追求。,D,八荣八耻,核心价值观,社会主义价值观,社会主义核心价值观,,
111,单选题,111.党的十九大报告指出，必须始终把人民利益摆在至高无上的地位，让改革发展成果更多更公平惠及全体人民，朝着实现____不断迈进。,A,全体人民共同富裕,全面脱贫,全面建成小康社会,中华民族伟大复兴中国梦,,
112,单选题,112.党的十九大报告指出，____是最大的民生。,C,卫生,教育,就业,“三农”问题,,
113,单选题,113.党的十九大报告指出，加强社区治理体系建设，推动社会治理重心向基层下移，发挥____作用，实现政府治理和社会调节、居民自治良性互动。,B,党委,社会组织,政府,企业,,
114,单选题,114.党的十九大报告指出，构建国土空间开发保护制度，完善主体功能区配套政策，建立以____为主体的自然保护地体系。,D,森林公园,湿地公园,主题公园,国家公园,,
115,单选题,115.党的十九大报告指出，世界正处于大发展大变革大调整时期，____仍然是时代主题。,B,和平与共赢,和平与发展,合作与共赢,合作与发展,,
116,单选题,116.党的十九大报告呼吁，各国人民同心协力，构建____，建设持久和平、普遍安全、共同繁荣、开放包容、清洁美丽的世界。,D,人类共同体,全球人类共同体,世界命运共同体,人类命运共同体,,
117,单选题,117.党的十九大报告指出，我们党面临的执政环境是复杂的，影响党的先进性、弱化党的纯洁性的因素也是复杂的，党内存在的____等突出问题尚未得到根本解决。,D,观念不纯、成分不纯、作风不纯,观念不纯、组织不纯、行为不纯,思想不纯、党员不纯、行为不纯,思想不纯、组织不纯、作风不纯,,
118,单选题,118.党的十九大报告指出，自觉抵制____对党内生活的侵蚀，营造风清气正的良好政治生态。,A,商品交换原则,市场经济原则,拜金享乐原则,权钱交易原则,,
119,单选题,119.党的十九大报告指出，以县处级以上领导干部为重点，在全党开展____主题教育。,B,“不忘初心、方得始终”,“不忘初心、牢记使命”,“不忘初心、继续前进”,“不忘初心、不忘使命”,,
120,单选题,120.党的十九大报告指出，赋予有干部管理权限的党组相应____，强化监督执纪问责。,C,监督执纪权限,纪检监察职责,纪律处分权限,纪律处分权责,,
121,单选题,121.党的十九大报告指出，在市县党委建立____，加大整治群众身边腐败问题力度。,D,监察制度,问责制度,巡视制度,巡察制度,,
122,单选题,122.党的十九大报告指出，制定国家监察法，依法赋予监察委员会职责权限和调查手段，用____取代“两规”措施。,A,留置,拘留,调查,“三规”,,
123,单选题,123.党的十九大报告指出，深化国家监察体制改革，将试点工作在全国推开，组建国家、省、市、县____，同党的纪律检查机关合署办公，实现对所有行使公权力的公职人员监察全覆盖。,C,巡视委员会,巡察委员会,监察委员会,检察委员会,,
124,单选题,124.坚持____一起查，坚决防止党内形成利益集团。,D,贪污行贿,贪污受贿,行贿受贿,受贿行贿,,
125,单选题,125.党的十九大报告指出，过去五年，公共文化服务水平不断提高，文艺创作持续繁荣，____蓬勃发展，互联网建设管理运用不断完善，全民健身和竞技体育全面发展。,B,文化创作和文化创新,文化事业和文化产业,文化产品和文化产业,文化事业和文化产品,,
126,单选题,126.建设强大的现代化陆军、海军、空军、火箭军和战略支援部队，打造坚强高效的____联合作战指挥机构。,D,军事,军队,军种,战区,,
127,单选题,127.党的十九大报告指出，我们坚决维护国家____完整，绝不容忍国家分裂的历史悲剧重演。一切分裂祖国的活动都必将遭到全体中国人坚决反对。,D,主权和治权,治权和领土,领土和领空,主权和领土,,
128,单选题,128.国防和军队改革取得历史性突破，形成____新格局，人民军队组织架构和力量体系实现革命性重塑。,A,军委管总、战区主战、军种主建,军委主建、战区协调、军种主战,军委指挥、战区主建、军种主战,军委协调、战区主战、军中主建,,
129,单选题,129.全面准确贯彻“一国两制”方针，牢牢掌握____赋予的中央对香港、澳门全面管治权，深化内地和港澳地区交流合作，保持香港、澳门繁荣稳定。,C,宪法,基本法,宪法与基本法,宪法与党章,,
130,单选题,130.党的十九大报告指出，提拔重用牢固树立“四个意识”和“四个自信”、坚决维护党中央权威、全面贯彻执行党的理论和路线方针政策、____的干部。,A,忠诚干净担当,忠诚廉洁担当,忠实干净勤勉,老实廉洁勤勉,,
131,单选题,131.中国共产党始终把为人类作出新的更大的贡献作为自己的____。,B,责任,使命,目标,方向,,
132,单选题,132.中国坚定奉行____，尊重各国人民自主选择发展道路的权利，维护国际公平正义，反对把自己的意志强加于人，反对干涉别国内政，反对以强凌弱。,C,相互尊重的和平外交政策,相互尊重的和平发展政策,独立自主的和平外交政策,独立自主的和平发展政策,,
133,单选题,133.我们党深刻认识到，实现中华民族伟大复兴，必须推翻压在中国人民头上的____三座大山，实现民族独立、人民解放、国家统一、社会稳定。,D,霸权主义、专制主义、资本主义,霸权主义、封建主义、资本主义,帝国主义、专制主义、国家资本主义,帝国主义、封建主义、官僚资本主义,,
134,单选题,134.我们党深刻认识到，实现中华民族伟大复兴，必须建立____。,D,先进社会制度,先进文化体系,符合我国实际的文化体系,符合我国实际的先进社会制度,,
135,单选题,135.一个政党，一个政权，其前途命运取决于____。人民群众反对什么、痛恨什么，我们就要坚决防范和纠正什么。,C,自身建设,执政能力,人心向背,政治理想,,
